,level_0,index,Parent 1 Highest Grade,Race,Sex,Self Esteem Score,AFQT Percentile Score,Type of Residence 1983,Average Drinks 2008,Highest Grade,Fam Size 1979,Foreign Language,Library Card,Parent Cohabitation,Number Siblings,First Marijuana Use,Income of 2019,Income of 2018
0,0,1,8,3,2,16,6841,0,-1,12,5,1,1,-1,8,-1,45069.26069453132,25000
1,1,2,10,3,2,20,49444,11,2,12,5,0,1,-1,3,12,44130.897964122254,80000
2,2,3,10,3,2,-1,55761,11,-1,14,5,0,0,-1,3,-1,43878.65877670425,0
3,3,5,12,3,1,27,99393,17,2,16,4,0,1,-1,1,17,41942.13340870204,117000
4,4,7,12,3,2,23,44022,11,8,14,3,1,1,1,7,15,43488.2340410655,51313
5,5,14,8,3,1,23,82260,3,3,16,4,0,1,-1,1,-1,43070.4794445734,0
6,6,15,12,3,2,25,50283,17,2,13,4,0,1,-1,3,17,41270.46180877733,90000
7,7,16,13,3,1,24,89669,0,-1,13,2,0,1,-1,2,16,44569.67066193804,69000
8,8,17,12,3,1,28,95977,11,3,13,1,0,1,-1,2,14,44536.54430701505,150000
9,9,20,11,3,2,28,88416,17,2,16,5,0,1,-1,2,15,41151.23524987528,0
10,10,24,13,3,2,19,51390,11,2,14,3,0,1,-1,1,16,43101.26211002936,48000
11,11,26,12,3,2,23,96674,0,2,16,4,0,1,-1,1,21,43400.41372198427,58000
12,12,28,12,3,2,30,25905,17,2,12,4,1,1,-1,1,-1,41524.42111129751,0
13,13,29,13,3,2,21,8528,0,-1,12,4,1,1,-1,1,-1,43773.5995834065,0
14,14,30,8,1,1,28,-1,0,4,12,4,1,0,-1,2,-1,46591.53896862662,40000
15,15,32,9,1,1,-1,-1,0,-1,12,4,1,1,-1,2,-1,46332.406746401655,0
16,16,33,13,3,1,26,6069,11,3,13,4,0,1,-1,5,19,44277.41208479009,0
17,17,35,8,3,1,13,-1,11,-1,12,5,0,1,-1,3,10,45699.19278962391,87000
18,18,36,12,3,2,20,56290,11,1,12,4,0,1,-1,4,18,43612.63351967234,48000
19,19,37,9,3,2,22,12788,17,3,12,4,0,1,-1,4,22,42173.97806916122,120000
20,20,38,12,3,1,-1,26851,11,1,12,4,0,1,-1,4,-1,44662.66390072406,65000
